"Class","Order","Family","Genus"
"Aves",NA,NA,"Onychorhynchus"
"Aves",NA,NA,"Batara"
"Aves",NA,NA,"Carpornis"
"Aves",NA,NA,"Cichlocolaptes"
"Aves",NA,NA,"Orthogonys"
"Aves",NA,NA,"Oxyruncus"
"Aves",NA,NA,"Vireo"
"Aves",NA,NA,"Troglodytes"
"Aves",NA,NA,"Podager"
"Aves",NA,NA,"Lanio"
"Aves",NA,NA,"Machaeropterus"
"Aves",NA,NA,"Aphantochroa"
"Aves",NA,NA,"Colibri"
"Aves",NA,NA,"Dixiphia"
"Aves",NA,NA,"Microspingus"
"Aves",NA,NA,"Pyroderus"
"Aves",NA,NA,"Hypoedaleus"
"Aves",NA,NA,"Touit"
"Aves",NA,NA,"Muscipipra"
"Aves",NA,NA,"Glyphorhynchus"
"Aves",NA,NA,"Tunchiornis"
"Aves",NA,NA,"Dichrozona"
"Aves",NA,NA,"Heliodoxa"
"Aves",NA,NA,"Notharchus"
"Aves",NA,NA,"Orchesticus"
"Aves",NA,NA,"Tyranniscus"
"Aves",NA,NA,"Mustelirallus"
"Aves",NA,NA,"Pygochelidon"
"Aves",NA,NA,"Aburria"
"Aves",NA,NA,"Merulaxis"
"Aves",NA,NA,"Biatas"
"Aves",NA,NA,"Heterospizias"
"Aves",NA,NA,"Melanotrochilus"
"Aves",NA,NA,"Coryphaspiza"
"Aves",NA,NA,"Saltatricula"
"Aves",NA,NA,"Xipholena"
"Aves",NA,NA,"Terenura"
"Aves",NA,NA,"Nannopterum"
"Aves",NA,NA,"Sturnella"
"Aves",NA,NA,"Micrococcyx"
"Aves",NA,NA,"Amadonastur"
"Aves",NA,NA,"Ortalis"
"Aves",NA,NA,"Neomorphus"
"Aves",NA,NA,"Acrobatornis"
"Aves",NA,NA,"Panyptila"
"Aves",NA,NA,"Lophornis"
"Aves",NA,NA,"Phibalura"
"Aves",NA,NA,"Procacicus"
"Aves",NA,NA,"Orthopsittaca"
"Aves",NA,NA,"Nannochordeiles"
"Aves",NA,NA,"Atticora"
