Class,Order,Family,Genus
Aves,Passeriformes,Tityridae,Onychorhynchus
Aves,Passeriformes,Thamnophilidae,Batara
Aves,Passeriformes,Cotingidae,Carpornis
Aves,Passeriformes,Furnariidae,Cichlocolaptes
Aves,Passeriformes,Mitrospingidae,Orthogonys
Aves,Passeriformes,Tityridae,Oxyruncus
Aves,Passeriformes,Vireonidae,Vireo
Aves,Passeriformes,Troglodytidae,Troglodytes
Aves,Caprimulgiformes,Caprimulgidae,Podager
Aves,Passeriformes,Thraupidae,Lanio
Aves,Passeriformes,Pipridae,Machaeropterus
Aves,Apodiformes,Trochilidae,Aphantochroa
Aves,Apodiformes,Trochilidae,Colibri
Aves,Passeriformes,Pipridae,Dixiphia
Aves,Passeriformes,Thraupidae,Microspingus
Aves,Passeriformes,Cotingidae,Pyroderus
Aves,Passeriformes,Thamnophilidae,Hypoedaleus
Aves,Psittaciformes,Psittacidae,Touit
Aves,Passeriformes,Tyrannidae,Muscipipra
Aves,Passeriformes,Furnariidae,Glyphorhynchus
Aves,Passeriformes,Vireonidae,Tunchiornis
Aves,Passeriformes,Thamnophilidae,Dichrozona
Aves,Apodiformes,Trochilidae,Heliodoxa
Aves,Piciformes,Bucconidae,Notharchus
Aves,Passeriformes,Thraupidae,Orchesticus
Aves,Passeriformes,Tyrannidae,Tyranniscus
Aves,Gruiformes,Rallidae,Mustelirallus
Aves,Passeriformes,Hirundinidae,Pygochelidon
Aves,Galliformes,Cracidae,Aburria
Aves,Passeriformes,Rhinocryptidae,Merulaxis
Aves,Passeriformes,Thamnophilidae,Biatas
Aves,Accipitriformes,Accipitridae,Heterospizias
Aves,Apodiformes,Trochilidae,Melanotrochilus
Aves,Passeriformes,Thraupidae,Coryphaspiza
Aves,Passeriformes,Thraupidae,Saltatricula
Aves,Passeriformes,Cotingidae,Xipholena
Aves,Passeriformes,Thamnophilidae,Terenura
Aves,Suliformes,Phalacrocoracidae,Nannopterum
Aves,Passeriformes,Icteridae,Sturnella
Aves,Cuculiformes,Cuculidae,Micrococcyx
Aves,Accipitriformes,Accipitridae,Amadonastur
Aves,Galliformes,Cracidae,Ortalis
Aves,Cuculiformes,Cuculidae,Neomorphus
Aves,Passeriformes,Furnariidae,Acrobatornis
Aves,Apodiformes,Apodidae,Panyptila
Aves,Apodiformes,Trochilidae,Lophornis
Aves,Passeriformes,Cotingidae,Phibalura
Aves,Passeriformes,Icteridae,Procacicus
Aves,Psittaciformes,Psittacidae,Orthopsittaca
Aves,Caprimulgiformes,Caprimulgidae,Nannochordeiles
Aves,Accipitridae,Buteogallus,Urubitinga
Aves,Passeriformes,Hirundinidae,Atticora
